"id","dish_id","ingredient_id","ingredient_name","quantity_cook","quantity"
48778,M0054,NL199,Kem tươi,70.0,
48780,M0054,NL195,Mật ong,50.0,
48781,M0054,NL200,Hạt dẻ cười,30.0,
48839,M0064,NL107,Mực ống,1.0,
48784,M0055,NL55,Cà rốt,100.0,
48785,M0055,NL203,Thanh cua,5.0,
48788,M0056,NL195,Mật ong,2.0,
48789,M0056,NL206,Nước cốt tắc,2.0,
48794,M0057,NL70,Tôm khô,20.0,
48795,M0057,NL209,Bánh phồng tôm,10.0,
48796,M0057,NL187,Lá lốt,30.0,
48797,M0057,NL162,Sả,2.0,
62240,M0173,NL1107,Nước mắm,,
48802,M0058,NL210,Dâu tây,2.0,
48805,M0059,NL212,Gan heo,300.0,
48806,M0059,NL116,Sữa tươi không đường,1.0,
48811,M0060,NL214,Đậu hũ trắng,1.0,
48813,M0060,NL55,Cà rốt,30.0,
48815,M0060,NL3078,Mè rang,1.0,
48816,M0061,NL216,Giò sống chay,150.0,
48817,M0061,NL217,Bột nếp lọc,250.0,
62253,M0174,NL1107,Nước mắm,,
48819,M0061,NL219,Củ năng,50.0,
48820,M0061,NL55,Cà rốt,30.0,
48822,M0061,NL3132,Mè đen rang,2.0,
48825,M0062,NL223,Lòng đỏ trứng,2.0,
48826,M0062,NL224,Cream cheese,150.0,
48827,M0062,NL226,Bột cà phê đá hòa tan,1.0,
48828,M0062,NL227,Whipping cream,150.0,
48830,M0063,NL41,Hành boaro,1.0,
48831,M0063,NL229,Bắp mỹ,1.0,
48832,M0063,NL230,Nước dừa,1.0,
48834,M0064,NL232,Sữa đậu nành không đường,400.0,
48835,M0064,NL230,Nước dừa,400.0,
48836,M0064,NL233,Nước lạnh,700.0,
48840,M0064,NL235,Táo tàu,10.0,
48841,M0064,NL236,Gừng,1.0,
48842,M0064,NL2977,tiêu xanh,2.0,
48843,M0064,NL162,Sả,3.0,
48847,M0065,NL119,Hành tím củ,15.0,
48849,M0065,NL240,Tắc chín,2.0,
48850,M0066,NL241,Mì căn,3.0,
48851,M0066,NL2975,bắp non,200.0,
48853,M0066,NL55,Cà rốt tỉa hoa,50.0,
48855,M0066,NL243,Nấm đông cô,8.0,
48779,M0054,NL947,Bơ lạt,30.0,
48858,M0067,NL55,Cà rốt,0.5,
48860,M0067,NL3062,Mè trắng rang,1.0,
48862,M0068,NL20,Cà chua,2.0,
48852,M0066,NL1057,Đậu Hà Lan trái,50.0,
48757,M0050,NL15,Ớt bằm,1.0,
48792,M0056,NL15,Ớt hiểm băm,1.0,
48743,M0048,NL1619,Cà chua bi,30.0,
48782,M0055,NL1022,Cồi sò điệp,150.0,
48759,M0051,NL103,Thịt ếch,600.0,
48837,M0064,NL1030,Thịt bò Mỹ,200.0,
48823,M0061,NL41,Boa rô phi,2.0,
48844,M0064,NL41,Hành boa ro,1.0,
48856,M0066,NL41,Boaro có lá,2.0,
48775,M0053,NL3054,Tỏi,0.5,
48809,M0059,NL3054,Tỏi,2.0,
48766,M0051,NL3054,Hành tỏi băm,2.0,
48790,M0056,NL3054,Hành tỏi băm,2.0,
48810,M0059,NL3054,Tỏi băm,2.0,
48762,M0051,NL1049,Tàu hũ ky,100.0,
48800,M0058,NL1052,Tôm sú,20.0,
48838,M0064,NL1052,Tôm sú,10.0,
48863,M0068,NL130,Nấm rơm,100.0,
48864,M0068,NL41,Hành boaro,1.0,
48859,M0067,NL1511,Đu đủ sợi,150.0,
48866,M0068,NL209,Bánh phồng tôm,1.0,
48868,M0069,NL151,Đậu bắp,100.0,
48937,M0081,NL107,Mực ống,150.0,
48881,M0071,NL112,Cơm gạo lứt,1.0,
48873,M0069,NL250,Ngũ vị hương,3.333,
48874,M0070,NL136,Cánh gà,4.0,
48875,M0070,NL2975,bắp non,100.0,
48876,M0070,NL119,Hành tím băm,1.0,
48877,M0070,NL236,Gừng,2.0,
48879,M0070,NL230,Nước dừa,1.0,
48880,M0071,NL252,Bí Nhật,4.0,
48818,M0061,NL53,Nấm mèo trắng,5.0,
48799,M0057,NL1410,Nước cốt chanh,1.0,
48872,M0069,NL1410,Nước cốt chanh,1.0,
48821,M0061,NL174,Nấm hương,3.0,
48783,M0055,NL2572,Lê,1.0,
48824,M0061,NL1145,Cọng ngò rí,1.0,
48812,M0060,NL903,Chà bông heo,5.0,
48867,M0069,NL1030,Bò phi lê,400.0,
48804,M0058,NL896,Sữa đặc có đường,1.0,
48771,M0052,NL162,Sả cây,3.0,
48787,M0056,NL162,Sả cây,3.0,
48883,M0071,NL114,Hạt sen,0.25,
48884,M0071,NL254,Đậu bi,0.25,
48886,M0072,NL214,Đậu hũ trắng,100.0,
62274,M0176,NL1107,Nước mắm,,
48889,M0072,NL257,Khoai mỡ tím,50.0,
48890,M0072,NL258,Tóp mỡ,20.0,
48891,M0072,NL46,Hành lá,2.0,
48892,M0072,NL223,Lòng đỏ trứng,1.0,
48893,M0072,NL92,Bột năng,1.0,
48895,M0073,NL214,Đậu hũ trắng,1.0,
48896,M0073,NL131,Nước dừa tươi,1.0,
48897,M0073,NL2977,tiêu xanh,20.0,
48898,M0073,NL260,Cải thìa,5.0,
48899,M0073,NL55,Cà rốt tỉa hoa,50.0,
48902,M0074,NL261,Cật heo,200.0,
48903,M0074,NL262,Khoai tây,1.0,
62275,M0176,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
62565,M0209,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
48907,M0074,NL92,Bột năng,1.0,
48908,M0074,NL26,Trứng gà,2.0,
48909,M0075,NL263,Quả dành dành,3.0,
62575,M0210,NL1107,Nước mắm,,
63044,M0250,NL1107,nước mắm AJINOMOTO Giấm gạo lên men,,
48912,M0076,NL268,Thịt ba chỉ rút sườn,600.0,
63074,M0253,NL1107,Nước mắm,,
48914,M0077,NL116,Sữa tươi không đường,100.0,
48916,M0077,NL86,Lá dứa,2.0,
63109,M0256,NL1107,Nước mắm,,
48918,M0078,NL272,Bắp bò hoa,200.0,
48919,M0078,NL273,Trứng vịt,1.0,
48920,M0078,NL2977,tiêu xanh,3.0,
48921,M0078,NL119,Hành tím bào,100.0,
48922,M0078,NL130,Nấm rơm,100.0,
48925,M0079,NL20,Cà chua,2.0,
48926,M0079,NL162,Sả,2.0,
48927,M0079,NL277,Lá chanh,3.0,
48882,M0071,NL130,Nấm rơm búp,50.0,
48930,M0079,NL119,Hành tím băm,1.0,
48932,M0080,NL1703,Thịt bê có da,300.0,
48954,M0083,NL277,Lá chanh Bắc nhỏ,10.0,
48989,M0091,NL46,Bông hành,50.0,
48960,M0086,NL1268,Nấm đùi gà baby,100.0,
48940,M0081,NL283,Olive đen,10.0,
48894,M0073,NL1272,Nấm mỡ trắng,400.0,
48942,M0081,NL119,Hành tím băm,1.0,
48943,M0081,NL3198,Xốt cà,3.0,
48944,M0082,NL268,Thịt ba chỉ rút sườn,300.0,
48945,M0082,NL162,Sả,1.0,
48946,M0082,NL172,lá chúc,5.0,
48947,M0082,NL20,Cà chua,1.0,
48950,M0082,NL119,Hành tím,2.0,
48952,M0083,NL285,Thịt má đùi gà,250.0,
48993,M0092,NL174,Nấm hương khô,5.0,
48957,M0084,NL75,Giò sống,100.0,
48958,M0084,NL26,Trứng gà,2.0,
48959,M0086,NL290,Sườn chay khô,100.0,
48961,M0086,NL55,Cà rốt,50.0,
48962,M0086,NL41,Hành boaro,1.0,
48963,M0086,NL2977,tiêu xanh,2.0,
48964,M0086,NL131,Nước dừa tươi,1.0,
48965,M0087,NL136,Cánh gà,3.0,
48966,M0087,NL292,Lòng gà,1.0,
48967,M0087,NL130,Nấm rơm,50.0,
48969,M0087,NL294,Bông điên điển,70.0,
48970,M0087,NL2994,ớt xiêm xanh đỏ,3.0,
48971,M0087,NL119,Hành tím bào,15.0,
48974,M0088,NL297,Khổ qua,2.0,
48975,M0088,NL298,Củ cải đỏ radish,3.0,
48977,M0088,NL299,Rau mầm,50.0,
48978,M0088,NL3078,Mè rang,1.0,
48980,M0089,NL300,Hương thảo,6.0,
48885,M0071,NL1145,Cọng ngò rí băm,0.5,
48985,M0090,NL1145,Ngó mônkhoai nước,300.0,
48870,M0069,NL1619,Cà chua bi,70.0,
48968,M0087,NL1619,Cà chua bi trái lớn,5.0,
48936,M0081,NL1213,Phô mai Mozarella khối,200.0,
48900,M0073,NL41,Hành boaro bằm,2.0,
48905,M0074,NL3054,Tỏi,1.0,
48935,M0080,NL3054,Tỏi,10.0,
48869,M0069,NL3054,Tỏi củ,50.0,
48871,M0069,NL3054,Nước cốt tỏi,1.0,
